time,Kp,status
2023-09-27 00:00:00,3.667,pre
2023-09-27 03:00:00,3.333,pre
2023-09-27 06:00:00,3.333,pre
2023-09-27 09:00:00,3.333,pre
2023-09-27 12:00:00,2.667,pre
2023-09-27 15:00:00,3,pre
2023-09-27 18:00:00,2.333,pre
2023-09-27 21:00:00,0.667,pre
2023-09-28 00:00:00,2,pre
2023-09-28 03:00:00,3,pre
2023-09-28 06:00:00,0.667,pre
2023-09-28 09:00:00,1,pre
2023-09-28 12:00:00,0.667,pre
2023-09-28 15:00:00,0.333,pre
2023-09-28 18:00:00,0,pre
2023-09-28 21:00:00,2,pre
2023-09-29 00:00:00,2,pre
2023-09-29 03:00:00,2.667,pre
2023-09-29 06:00:00,3.667,pre
2023-09-29 09:00:00,4,pre
2023-09-29 12:00:00,2.667,pre
2023-09-29 15:00:00,1,pre
2023-09-29 18:00:00,0.667,pre
2023-09-29 21:00:00,1,pre
2023-09-30 00:00:00,1.667,pre
2023-09-30 03:00:00,2.333,pre
2023-09-30 06:00:00,2.667,pre
2023-09-30 09:00:00,2.333,pre
2023-09-30 12:00:00,2,pre
2023-09-30 15:00:00,2,pre
2023-09-30 18:00:00,2.333,pre
2023-09-30 21:00:00,2.333,pre
2023-10-01 00:00:00,3.667,pre
2023-10-01 03:00:00,1.667,pre
2023-10-01 06:00:00,2,pre
2023-10-01 09:00:00,1,pre
2023-10-01 12:00:00,1.667,pre
2023-10-01 15:00:00,0.667,pre
2023-10-01 18:00:00,1.667,pre
2023-10-01 21:00:00,1.667,pre
2023-10-02 00:00:00,3,pre
2023-10-02 03:00:00,3.333,pre
2023-10-02 06:00:00,1,pre
2023-10-02 09:00:00,1.333,pre
2023-10-02 12:00:00,1.667,pre
2023-10-02 15:00:00,1.333,pre
2023-10-02 18:00:00,1.333,pre
2023-10-02 21:00:00,2.333,pre
2023-10-03 00:00:00,1,pre
2023-10-03 03:00:00,2.333,pre
2023-10-03 06:00:00,1.333,pre
2023-10-03 09:00:00,1,pre
2023-10-03 12:00:00,2,pre
2023-10-03 15:00:00,2,pre
2023-10-03 18:00:00,2,pre
2023-10-03 21:00:00,2,pre
